DATE,SERIES,OPEN,HIGH,LOW,"PREV. CLOSE",LTP,CLOSE,VWAP,"52W H","52W L",VOLUME,VALUE,"NO. OF  TRADES"
12-May-2021,EQ,603.20,606.65,593.20,609.85,595.15,594.75,599.08,679.40,285.55,14785569,"8,85,77,80,750.30",199336
11-May-2021,EQ,606.40,612.90,603.25,613.25,607.95,609.85,608.18,679.40,285.55,13818480,"8,40,40,80,314.60",118843
10-May-2021,EQ,611.00,617.00,611.00,607.10,614.05,613.25,614.42,679.40,285.55,12060808,"7,41,04,17,747.55",181676
07-May-2021,EQ,612.00,614.80,603.70,608.20,607.35,607.10,608.56,679.40,285.55,10941083,"6,65,82,76,805.95",150622
06-May-2021,EQ,602.80,610.85,599.25,602.80,609.95,608.20,605.35,679.40,285.55,16949763,"10,26,05,70,177.60",156779
05-May-2021,EQ,595.30,604.80,584.70,591.55,604.00,602.80,596.84,679.40,285.55,17253943,"10,29,79,06,055.00",203282
04-May-2021,EQ,596.65,608.00,589.00,596.75,592.00,591.55,600.27,679.40,285.55,15115127,"9,07,31,14,674.20",170816
03-May-2021,EQ,592.55,598.85,587.50,600.50,598.30,596.75,592.40,679.40,285.55,18010557,"10,66,94,19,775.40",201108
30-Apr-2021,EQ,610.10,616.35,598.10,621.45,599.70,600.50,607.02,679.40,285.55,23653258,"14,35,80,08,451.35",247055
29-Apr-2021,EQ,622.55,628.45,609.00,621.35,621.00,621.45,619.55,679.40,285.55,34537860,"21,39,79,15,714.35",304029
28-Apr-2021,EQ,598.00,622.80,598.00,598.75,619.70,621.35,612.57,679.40,285.55,33292864,"20,39,42,19,403.50",295406
27-Apr-2021,EQ,593.25,601.95,591.10,591.10,599.00,598.75,597.63,679.40,285.55,24239685,"14,48,62,96,318.65",233412
26-Apr-2021,EQ,602.00,605.50,588.00,569.95,588.70,591.10,596.22,679.40,285.55,62584522,"37,31,42,88,015.40",546696
23-Apr-2021,EQ,569.90,580.50,567.05,579.20,567.50,569.95,572.81,679.40,285.55,33749097,"19,33,16,70,490.25",364665
22-Apr-2021,EQ,552.00,580.60,546.90,559.10,578.40,579.20,570.14,679.40,285.55,34942633,"19,92,21,90,837.65",340989
20-Apr-2021,EQ,565.20,572.65,552.60,559.75,558.40,559.10,562.91,679.40,285.55,24425842,"13,74,94,61,212.45",265471
19-Apr-2021,EQ,550.00,562.30,534.40,566.95,560.40,559.75,547.46,679.40,285.55,28526176,"15,61,68,32,079.60",301440
16-Apr-2021,EQ,574.60,577.75,564.10,575.20,565.05,566.95,569.62,679.40,285.55,24045008,"13,69,66,11,657.20",259366
15-Apr-2021,EQ,565.95,576.75,554.15,560.60,575.75,575.20,567.41,679.40,285.55,37614884,"21,34,30,80,263.80",319800
13-Apr-2021,EQ,541.00,563.80,537.85,538.55,559.60,560.60,554.46,679.40,285.55,25445897,"14,10,86,59,844.50",298088
12-Apr-2021,EQ,551.40,551.95,531.15,566.20,540.90,538.55,540.90,679.40,285.55,26601702,"14,38,89,43,655.15",391762
09-Apr-2021,EQ,573.95,579.00,565.00,576.70,565.95,566.20,570.46,679.40,285.55,23239564,"13,25,71,91,549.10",259880
08-Apr-2021,EQ,582.00,585.85,573.30,577.65,576.70,576.70,579.98,679.40,285.55,19262565,"11,17,19,47,280.95",205706
07-Apr-2021,EQ,566.55,580.00,559.40,565.90,576.75,577.65,573.84,679.40,285.55,23984399,"13,76,32,72,230.65",220773
06-Apr-2021,EQ,574.70,578.50,564.40,571.25,567.35,565.90,569.36,679.40,285.55,23284697,"13,25,74,25,168.95",283888
05-Apr-2021,EQ,592.00,592.00,563.50,594.40,572.00,571.25,572.46,679.40,285.55,23260127,"13,31,54,45,012.40",269197
01-Apr-2021,EQ,587.55,596.10,580.20,582.10,594.75,594.40,587.17,679.40,281.50,15631940,"9,17,86,64,015.45",187284
31-Mar-2021,EQ,586.00,589.65,579.00,591.45,582.75,582.10,582.19,679.40,281.50,20119972,"11,71,37,04,269.00",236863
30-Mar-2021,EQ,582.00,593.10,582.00,578.55,591.60,591.45,588.45,679.40,281.50,28012288,"16,48,39,28,472.75",266625
26-Mar-2021,EQ,584.50,584.50,574.30,571.55,580.00,578.55,579.48,679.40,268.30,20724410,"12,00,94,50,634.75",284259
25-Mar-2021,EQ,568.10,579.00,557.10,567.50,570.60,571.55,568.55,679.40,268.30,27170186,"15,44,74,75,648.45",279750
24-Mar-2021,EQ,580.00,580.55,565.00,586.40,569.20,567.50,571.59,679.40,268.30,24434219,"13,96,63,44,622.90",304673
23-Mar-2021,EQ,576.00,589.25,574.30,573.45,586.00,586.40,580.73,679.40,268.30,29486417,"17,12,37,80,305.70",291301
22-Mar-2021,EQ,586.85,586.85,569.50,586.65,573.70,573.45,575.80,679.40,268.30,21755401,"12,52,68,11,418.15",307965
19-Mar-2021,EQ,575.20,588.90,570.00,578.60,587.00,586.65,578.57,679.40,268.30,29162618,"16,87,27,01,100.35",323501
18-Mar-2021,EQ,594.75,601.40,575.50,589.50,579.80,578.60,587.32,679.40,268.30,22776537,"13,37,70,49,401.45",286561
17-Mar-2021,EQ,597.55,603.65,587.00,594.95,587.00,589.50,595.15,679.40,268.30,20214082,"12,03,03,73,191.80",268521
16-Mar-2021,EQ,606.85,607.00,593.65,603.50,594.60,594.95,600.09,679.40,268.30,17925629,"10,75,69,50,881.05",237835
15-Mar-2021,EQ,611.90,612.85,590.60,612.85,603.65,603.50,598.88,679.40,268.30,24348723,"14,58,19,10,855.60",370051
12-Mar-2021,EQ,631.45,638.00,608.35,625.60,613.45,612.85,623.16,679.40,268.30,21757862,"13,55,86,33,223.80",225340
10-Mar-2021,EQ,628.75,630.50,621.80,625.10,626.00,625.60,625.75,679.40,268.30,15838994,"9,91,12,05,255.50",177498
09-Mar-2021,EQ,614.85,628.35,612.30,608.05,624.05,625.10,621.70,679.40,268.30,23056249,"14,33,40,09,874.20",233565
08-Mar-2021,EQ,611.60,616.00,601.15,609.45,608.50,608.05,608.71,679.40,268.30,19632433,"11,95,04,80,654.15",214377
05-Mar-2021,EQ,613.20,614.70,601.50,620.75,611.60,609.45,609.04,679.40,268.30,26645968,"16,22,85,93,296.85",264631
04-Mar-2021,EQ,618.75,630.90,615.80,632.10,621.80,620.75,622.95,679.40,268.30,25057198,"15,60,93,65,245.90",215674
03-Mar-2021,EQ,618.00,633.75,613.85,610.50,632.00,632.10,624.94,679.40,268.30,21036174,"13,14,62,99,781.80",250356
02-Mar-2021,EQ,610.00,616.50,599.00,608.35,610.95,610.50,607.95,679.40,268.30,24051433,"14,62,20,17,839.70",260670
01-Mar-2021,EQ,607.55,611.85,600.20,597.75,609.50,608.35,606.56,679.40,268.30,21527318,"13,05,75,03,875.95",219929
26-Feb-2021,EQ,615.00,615.00,590.90,628.00,597.25,597.75,599.80,679.40,268.30,57349273,"34,39,78,38,462.45",590244
25-Feb-2021,EQ,642.70,648.40,626.30,641.10,629.00,628.00,636.34,679.40,268.30,38571809,"24,54,47,45,289.65",389701
24-Feb-2021,EQ,615.10,645.00,615.10,616.30,640.00,641.10,627.97,679.40,268.30,17762047,"11,15,41,13,882.65",178082
23-Feb-2021,EQ,614.75,623.05,609.05,609.85,614.05,616.30,615.87,679.40,268.30,23534585,"14,49,41,93,067.05",250608
22-Feb-2021,EQ,622.00,629.30,607.30,624.05,608.95,609.85,615.13,679.40,268.30,27092321,"16,66,52,65,722.95",257181
19-Feb-2021,EQ,635.50,635.50,619.00,644.65,625.40,624.05,627.94,679.40,268.30,24055811,"15,10,57,08,907.95",351586
18-Feb-2021,EQ,650.00,652.40,637.60,657.35,644.90,644.65,644.05,679.40,268.30,27845347,"17,93,39,06,812.85",327130
17-Feb-2023,EQ,867.55,867.55,855.15,869.45,862.00,862.65,861.24,958.20,642.15,9990618,"8,60,43,55,548.40",166073
16-Feb-2023,EQ,875.95,877.80,864.85,870.80,866.85,869.45,872.17,958.20,642.15,10715685,"9,34,59,45,594.45",294581
15-Feb-2023,EQ,866.40,873.25,860.60,865.30,872.40,870.80,865.09,958.20,642.15,12070288,"10,44,18,97,134.05",194686
14-Feb-2023,EQ,853.90,867.30,852.10,850.65,865.00,865.30,859.91,958.20,642.15,13402934,"11,52,52,83,230.70",237450
13-Feb-2023,EQ,853.40,859.30,849.35,853.85,849.50,850.65,853.79,958.20,642.15,9394365,"8,02,08,54,846.10",153234
10-Feb-2023,EQ,855.55,861.90,852.00,860.80,855.40,853.85,856.06,958.20,642.15,8656405,"7,41,04,35,746.50",299200
09-Feb-2023,EQ,858.50,864.90,851.60,859.10,860.50,860.80,859.62,958.20,642.15,6299265,"5,41,49,77,210.15",114269
08-Feb-2023,EQ,852.50,860.70,851.90,852.75,856.55,859.10,857.02,958.20,642.15,8082983,"6,92,73,05,066.30",151665
07-Feb-2023,EQ,855.00,856.00,847.20,853.70,852.10,852.75,851.64,958.20,642.15,9337066,"7,95,17,99,843.00",159808
06-Feb-2023,EQ,861.50,867.80,849.65,863.80,856.30,853.70,855.18,958.20,642.15,8463833,"7,23,80,82,471.85",172873
03-Feb-2023,EQ,864.65,872.65,852.10,857.90,862.50,863.80,863.15,958.20,642.15,14914366,"12,87,33,94,076.30",258409
02-Feb-2023,EQ,828.40,860.60,826.10,847.95,857.05,857.90,846.44,958.20,642.15,16798190,"14,21,87,22,020.65",270719
01-Feb-2023,EQ,843.45,875.20,823.15,831.90,850.05,847.95,853.18,958.20,642.15,39237711,"33,47,68,49,764.25",379335
31-Jan-2023,EQ,826.00,838.30,814.10,823.50,835.00,831.90,827.51,958.20,642.15,27291226,"22,58,37,83,062.65",350859
30-Jan-2023,EQ,800.00,826.25,796.00,817.20,824.45,823.50,812.34,958.20,642.15,36301441,"29,48,91,95,521.90",448334
27-Jan-2023,EQ,839.15,843.00,813.10,855.30,818.25,817.20,823.50,958.20,642.15,39718683,"32,70,85,02,959.15",533517
25-Jan-2023,EQ,873.30,876.80,848.00,870.75,856.50,855.30,857.85,958.20,642.15,14918485,"12,79,77,96,474.70",339880
