DATE,SERIES,OPEN,HIGH,LOW,"PREV. CLOSE",LTP,CLOSE,VWAP,"52W H","52W L",VOLUME,VALUE,"NO. OF  TRADES"
05-Oct-2023,EQ,590.00,594.35,587.10,586.25,592.00,592.15,591.18,629.55,499.35,13248028,"7,83,20,00,311.45",209600
04-Oct-2023,EQ,600.00,600.45,584.45,602.95,585.20,586.25,590.41,629.55,499.35,24914612,"14,70,97,73,963.60",308578
03-Oct-2023,EQ,596.60,604.90,589.60,598.55,603.10,602.95,597.63,629.55,499.35,15322196,"9,15,69,85,818.05",245784
29-Sep-2023,EQ,592.85,600.00,591.30,589.95,598.30,598.55,597.22,629.55,499.35,12189735,"7,27,99,47,317.40",224164
28-Sep-2023,EQ,591.25,595.20,588.85,589.75,590.50,589.95,591.37,629.55,499.35,21960816,"12,98,69,61,371.85",287488
27-Sep-2023,EQ,593.45,594.30,588.20,594.40,590.00,589.75,590.74,629.55,499.35,9865347,"5,82,78,26,886.25",232626
26-Sep-2023,EQ,594.00,595.00,591.25,594.05,594.45,594.40,593.80,629.55,499.35,8327427,"4,94,48,09,375.45",185873
25-Sep-2023,EQ,601.50,601.50,590.45,598.15,593.95,594.05,594.79,629.55,499.35,9712784,"5,77,71,09,828.20",262285
22-Sep-2023,EQ,593.50,602.00,591.40,588.15,598.70,598.15,598.12,629.55,499.35,18784139,"11,23,52,13,845.05",295166
21-Sep-2023,EQ,600.00,606.60,584.65,601.10,587.90,588.15,593.29,629.55,499.35,23453425,"13,91,46,25,160.45",425490
20-Sep-2023,EQ,600.85,606.80,599.40,603.95,601.00,601.10,602.78,629.55,499.35,21314600,"12,84,80,60,287.55",351772
18-Sep-2023,EQ,598.80,608.40,597.05,598.80,603.00,603.95,605.18,629.55,499.35,19305055,"11,68,30,85,228.80",336027
15-Sep-2023,EQ,599.35,600.70,595.20,597.30,598.05,598.80,598.23,629.55,499.35,11756389,"7,03,30,62,065.15",182595
14-Sep-2023,EQ,598.45,603.70,595.20,596.45,596.60,597.30,598.77,629.55,499.35,13178911,"7,89,11,38,917.75",260528
13-Sep-2023,EQ,588.40,598.00,583.45,588.35,596.35,596.45,592.24,629.55,499.35,19377172,"11,47,59,63,581.80",279643
